name,address,suburb,state,postcode,latitude,longitude,phone,opening_hours,venue_type,source
Braidwood Multi-Purpose Service,77 Monkittee Street,BRAIDWOOD,NSW,2622,-35.4427639999999,149.805407,Phone number not available,Opening hours not available,Multi-Purpose Service,AIHW_ServiceList
Dellacourt,42 NICHOLSON Place,WEST ALBURY,NSW,2640,-36.0754009999999,146.890895999999,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Brerrina Multi-Purpose Service,56 DOYLE Street,BRERRINA,NSW,2839,-29.9615909999999,146.864313,Phone number not available,Opening hours not available,Multi-Purpose Service,AIHW_ServiceList
BaptistCare Maranoa Centre - Alstonville,15 The Avenue -,ALSTONVILLE,NSW,2477,-28.840536,153.436633999999,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Urana Multi-Purpose Service,127-129 Princess Street,URANA,NSW,2645,-35.325391,146.267696999999,Phone number not available,Opening hours not available,Multi-Purpose Service,AIHW_ServiceList
Baradine Multi-Purpose Service,5-9 Macquarie Street,BARADINE,NSW,2396,-30.945519,149.067007999999,Phone number not available,Opening hours not available,Multi-Purpose Service,AIHW_ServiceList
Uniting Autumn Lodge Butler Street,50 Butler Street,ARMIDALE,NSW,2350,-30.503834,151.658369999999,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Macquarie Lodge Aged Care Plus Centre,171 Wollongong Road,ARNCLIFFE,NSW,2205,-33.9396559999999,151.134856,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Urbenville Multi-Purpose Service,45 Beaury Street,URBENVILLE,NSW,2475,-28.4715549999999,152.54327,Phone number not available,Opening hours not available,Multi-Purpose Service,AIHW_ServiceList
Ashfield Terrace Care Community,8-10 Clissold Street,ASHFIELD,NSW,2131,-33.8959499999999,151.127893999999,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Dorrigo Multi-Purpose Service,14 BEECH Street,DORRIGO,NSW,2453,-30.340795,152.713810999999,Phone number not available,Opening hours not available,Multi-Purpose Service,AIHW_ServiceList
Crowley Retirement Village,154 Cherry Street,BALLINA,NSW,2478,-28.85369,153.569384,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Warren Multi-Purpose Service,Dr Kater Drive,WARREN,NSW,2824,-31.693977,147.836194,Phone number not available,Opening hours not available,Multi-Purpose Service,AIHW_ServiceList
Tumbarumba Multi-Purpose Service,4 MITCHELL Street,TUMBARUMBA,NSW,2653,-35.779798,148.005529999999,Phone number not available,Opening hours not available,Multi-Purpose Service,AIHW_ServiceList
Murray Haven Hostel,98 Punt Road,BARHAM,NSW,2732,-35.623145,144.133186999999,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Delegate Multi-Purpose Service,11 CRAIGIE STREET,DELEGATE,NSW,2633,-37.044711,148.945973,Phone number not available,Opening hours not available,Multi-Purpose Service,AIHW_ServiceList
Richardson House,24 Gotha Street,BARRABA,NSW,2347,-30.382859,150.605163,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Culcairn Multi-Purpose Service,57 Balfour Street,CULCAIRN,NSW,2660,-35.667327,147.042487999999,Phone number not available,Opening hours not available,Multi-Purpose Service,AIHW_ServiceList
Weeroona Aged Care Plus Centre,14 Trebartha Street,BASS HILL,NSW,2197,-33.8995719999999,151.003470999999,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Oberon Multi-Purpose Service,67-75 North Street,OBERON,NSW,2787,-33.7053939999999,149.853025,Phone number not available,Opening hours not available,Multi-Purpose Service,AIHW_ServiceList
Uniting Nareen Gardens Bateau Bay,5 Yakalla Street,BATEAU BAY,NSW,2261,-33.3742799999999,151.479367999999,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Trangie Multi-Purpose Service,28 Harris Street,TRANGIE,NSW,2823,-32.030582,147.974423999999,Phone number not available,Opening hours not available,Multi-Purpose Service,AIHW_ServiceList
Southern Cross Care Reynolds Court Residential Aged Care,7 Bias Avenue,BATEAU BAY,NSW,2261,-33.3765569999999,151.480594999999,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Trundle Multi-Purpose Service,44 Brookview Street,TRUNDLE,NSW,2875,-32.921325,147.704235,Phone number not available,Opening hours not available,Multi-Purpose Service,AIHW_ServiceList
Bupa Bateau Bay,17 Bias Avenue,BATEAU BAY,NSW,2261,-33.3790049999999,151.47855,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
RFBI Bellingen Masonic Village - JJ,15-23 Watson Street,BELLINGEN,NSW,2454,-30.455924,152.896432,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Uniting Narla Belmont North,21 Lentara Road,BELMONT NORTH,NSW,2280,-33.0225659999999,151.658299,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
St Elizabeth Home,1 Symonds Road,DEAN PARK,NSW,2761,-33.738908,150.861705,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Harold Williams Home,267 Eyre Street,BROKEN HILL,NSW,2880,-31.974301,141.462647,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Aruma Lodge,Beryl Street,BROKEN HILL,NSW,2880,-31.9435749999999,141.485104,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Byron Aged Care,1 Butler Street,BYRON BAY,NSW,2481,-28.641787,153.610798999999,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Paling Court Residential Aged Care,90 WEROMBI Road,GRASMERE,NSW,2570,-34.05666,150.674613999999,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
IBIS Care Miranda,2c Karimbla Road,MIRANDA,NSW,2228,-34.039185,151.114191,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Southern Cross Care St Michael's Residential Aged Care,62 Centre Street,CASINO,NSW,2470,-28.872301,153.043292,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Anglicare Farrer Brown Court,284 Castle Hill Road,CASTLE HILL,NSW,2154,-33.7314179999999,151.022591,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Anglicare Warrina Residential Care,2 Hilliard Drive,CASTLE HILL,NSW,2154,-33.728506,151.023425,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Anglicare Brian King Gardens,1 Hilliard Drive,CASTLE HILL,NSW,2154,-33.728506,151.023425,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Cooinda Aged Care,100 Cassilis Street,COONABARABRAN,NSW,2357,-31.274086,149.286024999999,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Southern Cross Care Cootamundra Residential Aged Care,Scott Avenue,COOTAMUNDRA,NSW,2590,-34.6342259999999,148.015514999999,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
BaptistCare Mid Richmond Centre - Coraki,Surry Street,CORAKI,NSW,2471,-28.994059,153.277964999999,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Southern Cross Care Karinya Residential Aged Care,125 Guy Street,COROWA,NSW,2646,-35.988612,146.384183,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Illawarra Diggers,8 Blundell Parade,CORRIMAL,NSW,2518,-34.3668029999999,150.893972999999,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Calvary St Paul's Retirement Community,54 River Street,CUNDLETOWN,NSW,2430,-31.901758,152.518721999999,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Southern Cross Care Orana Residential Aged Care,59 Napier Street,DENILIQUIN,NSW,2710,-35.529691,144.960779,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Merton Court Hostel,91 Virginia Street,DENMAN,NSW,2328,-32.389667,150.684524,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Maybanke Aged Care Plus Centre,80 Wardell Road,DULWICH HILL,NSW,2203,-33.908484,151.14372,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
BaptistCare Cooinda Court,159 Balaclava Road,MACQUARIE PARK,NSW,2113,-33.777251,151.110489999999,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Catholic Healthcare Jemalong Residential Village,240 Edward Street,FORBES,NSW,2871,-33.358722,147.990465999999,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Alexander Campbell House,51 Cook Street,FORESTVILLE,NSW,2087,-33.763896,151.218942999999,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Harden Grange,78 Swift Street,HARDEN,NSW,2587,-34.555306,148.358555999999,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Uniting Caroona Jarman Goonellabah,65-101 Rous Road,GOONELLABAH,NSW,2480,-28.82564,153.320303999999,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Hunters Hill Village,8 D'aram Street,HUNTERS HILL,NSW,2110,-33.8336869999999,151.152381999999,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Gill Waminda Aged Care Plus Centre,4 Mary Street,GOULBURN,NSW,2580,-34.762107,149.698250999999,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Catholic Healthcare St Francis Aged Care,226 Arthur Street,GRAFTON,NSW,2460,-29.6727549999999,152.937152999999,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Southern Cross Care St Catherine's Residential Aged Care,126 North Street,GRAFTON,NSW,2460,-29.670888,152.941198,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
The Pioneers Lodge,15-23 Sidlow Road,GRIFFITH,NSW,2680,-34.29702,146.040568,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
HammondCare Hammondville,8-10 Judd Avenue,HAMMONDVILLE,NSW,2170,-33.9716799999999,150.859780999999,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Catholic Healthcare St Joseph Aged Care,41 Gladesville Road,HUNTERS HILL,NSW,2110,-33.833975,151.142016,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Catholic Healthcare St Bedes Home,2 Russell Lane,SOUTH HURSTVILLE,NSW,2221,-33.9753339999999,151.111082,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
McLean Care Ltd,67 Killean Street,INVERELL,NSW,2360,-29.760435,151.135432,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Vincent Court,88 LEITH Street,WEST KEMPSEY,NSW,2440,-31.061063,152.825682999999,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Blue Haven Bonaira,14 Bonaira Street,KIAMA,NSW,2533,-34.682516,150.850041,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Catholic Healthcare Bethlehem House,30 Montgomery Street,KOGARAH,NSW,2217,-33.9639209999999,151.1346,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Whiddon Kyogle,1 GEORGE Street,KYOGLE,NSW,2474,-28.625755,153.001548,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
St Basil's Lakemba,300 Haldon Street,LAKEMBA,NSW,2195,-33.926616,151.080839999999,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Uniting Kamilaroi Lane Cove,155 Longueville Road,LANE COVE,NSW,2066,-33.817011,151.169772999999,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Uniting Annesley Haberfield,1 Haberfield Road,HABERFIELD,NSW,2045,-33.886473,151.141152,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Uniting The Marion Leichhardt,237 Marion Street,LEICHHARDT,NSW,2040,-33.883619,151.146136,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Autumn Lodge Hostel,1-3 Short Street,MACKSVILLE,NSW,2447,-30.712147,152.919976999999,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Whiddon Maclean,27 Union Street,MACLEAN,NSW,2463,-29.4543539999999,153.203429999999,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
RFBI Benhome Masonic Village,30 Regent Street,MAITLAND,NSW,2320,-32.730085,151.54549,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Brother Alberts Home,116-132 Quakers Road,MARAYONG,NSW,2148,-33.7425879999999,150.886446,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
Catholic Healthcare St James Villa,60 Lawson Street,MATRAVILLE,NSW,2036,-33.962974,151.244366,Phone number not available,Opening hours not available,Residential Aged Care,AIHW_ServiceList
