"device","national","age_18_34","age_35_44","age_45_54","age_55_64","age_65_74","age_75plus"
"Smartphone",0.933419021562531,0.988652736268493,0.976545453979846,0.961360570702546,0.945425670259186,0.881155790487271,0.678277544286717
"Portable laptop or notebook computer",0.687845071144806,0.779753040440064,0.800294236085237,0.669218684366491,0.675627128961637,0.569209813021087,0.390527399731447
"Smart TV",0.606296893295058,0.599781087716139,0.6779737667181,0.652114971099381,0.662125286125027,0.554799610507338,0.385741549332963
"Tablet (e.g. Apple iPad, Google Pixel Slate)",0.487794557559756,0.453991981157428,0.522369520523593,0.494002223642709,0.530115689221308,0.496069794181909,0.4387179457054
"Desktop computer",0.465225774454288,0.479505866151014,0.433323640612176,0.473042382748591,0.478943400754265,0.487531115396755,0.418215817862214
"Digital media player (e.g. Apple TV, Google Chromecast)",0.28519204523653,0.346757464277142,0.347095246228273,0.353130403742324,0.251116942566776,0.138009732888662,0.0948187252313728
"Smartwatch (e.g. Apple Watch, Fossil Gen 5)",0.250684997199046,0.333171260662354,0.320334613552547,0.283431415985848,0.181643687043148,0.12940333514481,0.0673704347186977
"Games console (e.g. Xbox, Switch)",0.240887578119415,0.413393790291158,0.354864911197685,0.251619427080475,0.0804393296471356,0.013648181707695,0.0108481546420474
"Smart appliance / home device (e.g. light, security system, fridge)",0.203929358344439,0.282552865239319,0.259429627198776,0.197743927793353,0.183907878865428,0.0696367097663454,0.0637157226632085
"Voice controlled smart speaker (e.g. Amazon Echo, Google Home)",0.19097454199315,0.228398699660286,0.246979535631979,0.221529968736896,0.157749740092745,0.11676847590082,0.0612401999447605
"Fitness wearable device (e.g. Fitbit, Garmin)",0.126120358828405,0.114870705359891,0.165535083490622,0.175196915764686,0.115071452763724,0.107987350357228,0.0415603563825167
"E-Reader (e.g. Kindle)",0.102539656747047,0.102087163694567,0.113604817634153,0.111519680859404,0.0912011458727723,0.108068280978789,0.0791701259240428
