"subgroup","affordability","gap","low","high"
"Income Q1 (<$41,600)",34.4508058411938,-35.8026124551474,0.999706141533058,0.000293858466941505
"Rent from public housing authority",44.2921758658373,-25.9612424305039,0.754655177183031,0.245344822816968
"75+",51.063957973835,-19.1894603225062,0.614680112472962,0.385319887527037
"Receives income support",53.6737624589759,-16.5796558373653,0.603836180980693,0.39616381901931
"Did not complete secondary school",54.603987391951,-15.6494309043902,0.562935812364413,0.43706418763559
"First Nations (remote)",54.872215232423,-15.3812030639182,0.750788807800241,0.249211192199759
"First Nations (inner regional)",54.8933462540079,-15.3600720423333,0.585713367954286,0.414286632045713
"Not in labour force",55.9648222952035,-14.2885960011377,0.539065359669405,0.460934640330598
"Single person",56.4934684082037,-13.7599498881375,0.429465794990844,0.570534205009157
"Unemployed",56.5637919555594,-13.6896263407818,0.626600998089656,0.373399001910344
"People with disability",57.1903718668432,-13.0630464294981,0.533699892840975,0.466300107159025
"First Nations (national average)",57.280676215307,-12.9727420810342,0.58237491721453,0.417625082785473
"65-74",57.5395059676571,-12.7139123286841,0.490664137313891,0.509335862686112
"First Nations (outer regional)",57.9804185435569,-12.2729997527843,0.571982335150229,0.42801766484977
"First Nations (urban)",58.2647114828879,-11.9887068134533,0.503260017792119,0.49673998220788
"First Nations (very remote)",59.2086254294361,-11.0447928669051,0.833529580435063,0.166470419564937
"Other education",59.3389262844288,-10.9144920119124,0.562645064059593,0.437354935940408
"Income Q2 ($41,600 - $77,999)",60.2561051811813,-9.99731311515988,0.349300412996638,0.650699587003363
"Sales",62.1770772015103,-8.07634109483092,0.442016361256921,0.557983638743078
"One parent family",62.6367614455828,-7.61665685075843,0.430044071397911,0.56995592860209
"Completed secondary school",63.42661263659,-6.82680565975124,0.431339062709975,0.568660937290024
"Outer Regional Australia",66.4641355114302,-3.78928278491104,0.416191658481045,0.583808341518959
"Regional",66.6132896736444,-3.64012862269676,0.372302626807179,0.627697373192823
"Very Remote Australia",66.6211736487204,-3.63224464762081,0.5144630846796,0.485536915320398
"Inner Regional Australia",67.0644814755753,-3.1889368207659,0.347472968480661,0.652527031519344
"55-64",67.8285766870459,-2.42484160929536,0.347285367966497,0.6527146320335
"Community/Personal service worker",68.2896870837115,-1.96373121262967,0.318388387780715,0.681611612219285
"Female",68.4904023070511,-1.76301598929008,0.336441637071515,0.66355836292849
"Remote Australia",69.0566104417971,-1.19680785454415,0.415692312001492,0.58430768799851
"Certificate / diploma",69.4258108135058,-0.827607482835404,0.315361345470558,0.684638654529444
"Rent from private landlord",69.8981302371833,-0.355288059157928,0.271030157051665,0.728969842948336
"Machinery operator/Driver/Labourer",70.1298962044857,-0.12352209185552,0.308419280847577,0.691580719152422
"Other (boarding, living at home etc.)",70.3436579358462,0.0902396395049436,0.3981166670675,0.601883332932498
"LOTE",70.8713969553902,0.617978659048987,0.309561399152988,0.69043860084701
"Multi-family / group / other household",71.2970785133918,1.04366021705054,0.371308005588088,0.628691994411911
"Major Cities of Australia",71.4880101880384,1.23459189169724,0.285655192768979,0.71434480723102
"Metro",72.0125654753055,1.75914717896431,0.279293273584363,0.720706726415635
"Male",72.0438575309894,1.7904392346482,0.28616043141781,0.713839568582189
"Own outright / purchaser",72.1060864569628,1.8526681606216,0.279020746028113,0.720979253971882
"Couple without children",72.3820303168382,2.12861202049702,0.265204037901302,0.734795962098699
"18-34",73.9562207616192,3.70280246527803,0.254145150317944,0.745854849682059
"Income Q3 ($78,000 - $103,999)",74.4535924344693,4.20017413812808,0.0896635474879869,0.910336452512013
"Clerical/Administrative worker",75.087731045887,4.83431274954575,0.18188787860247,0.818112121397531
"45-54",75.7047324378202,5.451314141479,0.247792442191741,0.752207557808259
"Employed",79.3200908727949,9.06667257645367,0.157829705883149,0.842170294116856
"35-44",79.6904734830238,9.43705518668256,0.145144566247368,0.854855433752632
"Bachelor and above",80.1994985039673,9.94608020762607,0.144662872381443,0.855337127618556
"Couple with children",81.3117076279709,11.0582893316297,0.188394381612288,0.811605618387713
"Technician/Trade worker",81.8151739249121,11.5617556285709,0.0774257638522194,0.922574236147781
"Manager/Professional",84.7012933436447,14.4478750473035,0.0887380086840368,0.911261991315962
"Income Q4 ($104,000 - $181,999)",88.126525145116,17.8731068487748,0.00859239517684229,0.991407604823158
"Income Q5 ($182,000+)",99.2254490610545,28.9720307647133,0.000396864784985444,0.999603135215015
