Service Name,Physical Address,Physical Suburb,Physical State,Physical Post Code,2018 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,2019 MMM Code,2016 SA2 Code,2016 SA2 Name,2016 SA3 Code,2016 SA3 Name,2023 LGA Name,2023 LGA Code,2017 PHN Code,2017 PHN Name,Latitude,Longitude
Braidwood Multi-Purpose Service,77 Monkittee Street,BRAIDWOOD,NSW,2622,Southern Highlands,Multi-Purpose Service,37,2,0,Southern NSW Local Health District,State Government,Inner Regional Australia,5,11007,Braidwood,10102,Queanbeyan,Queanbeyan-Palerang,16490,PHN106,South Eastern NSW,-35.4427639999999,149.805407
Dellacourt,42 NICHOLSON Place,WEST ALBURY,NSW,2640,Riverina/Murray,Residential,122,0,0,Lutheran Aged Care Albury,Charitable,Inner Regional Australia,2,11174,Albury - South,10901,Albury,Albury,10050,PHN205,Murray,-36.0754009999999,146.890895999999
Brerrina Multi-Purpose Service,56 DOYLE Street,BRERRINA,NSW,2839,Orana Far West,Multi-Purpose Service,12,4,0,Western NSW Local Health District,State Government,Very Remote Australia,7,11092,Bourke - Brewarrina,10501,Bourke - Cobar - Coonamble,Brewarrina,11200,PHN107,Western NSW,-29.9615909999999,146.864313
BaptistCare Maranoa Centre - Alstonville,15 The Avenue -,ALSTONVILLE,NSW,2477,Far North Coast,Residential,90,0,0,BaptistCare NSW & ACT,Charitable,Inner Regional Australia,3,11237,Ballina Region,11201,Richmond Valley - Coastal,Ballina,10250,PHN109,North Coast,-28.840536,153.436633999999
Urana Multi-Purpose Service,127-129 Princess Street,URANA,NSW,2645,Riverina/Murray,Multi-Purpose Service,19,0,0,Murrumbidgee Local Health District,State Government,Outer Regional Australia,5,11181,Corowa Region,10903,Upper Murray exc. Albury,Federation,12870,PHN110,Murrumbidgee,-35.325391,146.267696999999
Baradine Multi-Purpose Service,5-9 Macquarie Street,BARADINE,NSW,2396,Orana Far West,Multi-Purpose Service,14,3,0,Western NSW Local Health District,State Government,Remote Australia,6,11099,Coonabarabran,10503,Dubbo,Warrumbungle,18020,PHN107,Western NSW,-30.945519,149.067007999999
Uniting Autumn Lodge Butler Street,50 Butler Street,ARMIDALE,NSW,2350,New England,Residential,64,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Inner Regional Australia,3,11186,Armidale,11001,Armidale,Armidale,10180,PHN108,Hunter New England and Central Coast,-30.503834,151.658369999999
Macquarie Lodge Aged Care Plus Centre,171 Wollongong Road,ARNCLIFFE,NSW,2205,South East Sydney,Residential,130,0,0,The Salvation Army (NSW) Property Trust,Charitable,Major Cities of Australia,1,11375,Arncliffe - Bardwell Valley,11904,Kogarah - Rockdale,Bayside (NSW),10500,PHN101,Central and Eastern Sydney,-33.9396559999999,151.134856
Urbenville Multi-Purpose Service,45 Beaury Street,URBENVILLE,NSW,2475,New England,Multi-Purpose Service,19,6,0,Northern NSW Local Health District,State Government,Outer Regional Australia,5,11194,Tenterfield,11002,Inverell - Tenterfield,Tenterfield,17400,PHN109,North Coast,-28.4715549999999,152.54327
Ashfield Terrace Care Community,8-10 Clissold Street,ASHFIELD,NSW,2131,Inner West,Residential,135,0,0,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11390,Ashfield,12003,Strathfield - Burwood - Ashfield,Inner West,14170,PHN101,Central and Eastern Sydney,-33.8959499999999,151.127893999999
Dorrigo Multi-Purpose Service,14 BEECH Street,DORRIGO,NSW,2453,Mid North Coast,Multi-Purpose Service,21,6,0,Mid North Coast Local Health District,State Government,Inner Regional Australia,5,11087,Dorrigo,10402,Coffs Harbour,Bellingen,10600,PHN109,North Coast,-30.340795,152.713810999999
Crowley Retirement Village,154 Cherry Street,BALLINA,NSW,2478,Far North Coast,Residential,77,0,0,The Trustees of the Roman Catholic Church for the Diocese of Lismore,Religious,Inner Regional Australia,3,11236,Ballina,11201,Richmond Valley - Coastal,Ballina,10250,PHN109,North Coast,-28.85369,153.569384
Warren Multi-Purpose Service,Dr Kater Drive,WARREN,NSW,2824,Orana Far West,Multi-Purpose Service,32,4,0,Western NSW Local Health District,State Government,Outer Regional Australia,5,11095,Nyngan - Warren,10501,Bourke - Cobar - Coonamble,Warren,17950,PHN107,Western NSW,-31.693977,147.836194
Tumbarumba Multi-Purpose Service,4 MITCHELL Street,TUMBARUMBA,NSW,2653,Riverina/Murray,Multi-Purpose Service,42,10,0,Murrumbidgee Local Health District,State Government,Outer Regional Australia,5,11260,Tumbarumba,11302,Tumut - Tumbarumba,Snowy Valleys,17080,PHN110,Murrumbidgee,-35.779798,148.005529999999
Murray Haven Hostel,98 Punt Road,BARHAM,NSW,2732,Riverina/Murray,Residential,55,0,0,Murray Haven Homes Limited,Community Based,Outer Regional Australia,5,11183,Deniliquin Region,10903,Upper Murray exc. Albury,Murray River,15520,PHN110,Murrumbidgee,-35.623145,144.133186999999
Delegate Multi-Purpose Service,11 CRAIGIE STREET,DELEGATE,NSW,2633,Southern Highlands,Multi-Purpose Service,10,4,0,Southern NSW Local Health District,State Government,Outer Regional Australia,5,11013,Bombala,10103,Snowy Mountains,Snowy Monaro,17040,PHN106,South Eastern NSW,-37.044711,148.945973
Richardson House,24 Gotha Street,BARRABA,NSW,2347,New England,Residential,21,0,0,Barraba and District Retirement Homes Association Incorporated,Community Based,Outer Regional Australia,5,11205,Tamworth Region,11004,Tamworth - Gunnedah,Tamworth,17310,PHN108,Hunter New England and Central Coast,-30.382859,150.605163
Culcairn Multi-Purpose Service,57 Balfour Street,CULCAIRN,NSW,2660,Riverina/Murray,Multi-Purpose Service,28,2,0,Murrumbidgee Local Health District,State Government,Inner Regional Australia,5,11175,Albury Region,10901,Albury,Greater Hume,13340,PHN110,Murrumbidgee,-35.667327,147.042487999999
Weeroona Aged Care Plus Centre,14 Trebartha Street,BASS HILL,NSW,2197,South West Sydney,Residential,104,0,0,The Salvation Army (NSW) Property Trust,Charitable,Major Cities of Australia,1,11354,Bass Hill - Georges Hall,11901,Bankstown,Canterbury-Bankstown,11570,PHN105,South Western Sydney,-33.8995719999999,151.003470999999
Oberon Multi-Purpose Service,67-75 North Street,OBERON,NSW,2787,Central West,Multi-Purpose Service,14,8,0,Western NSW Local Health District,State Government,Inner Regional Australia,5,11061,Oberon,10301,Bathurst,Oberon,16100,PHN107,Western NSW,-33.7053939999999,149.853025
Uniting Nareen Gardens Bateau Bay,5 Yakalla Street,BATEAU BAY,NSW,2261,Central Coast,Residential,195,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,1,11044,Bateau Bay - Killarney Vale,10202,Wyong,Central Coast (NSW),11650,PHN108,Hunter New England and Central Coast,-33.3742799999999,151.479367999999
Trangie Multi-Purpose Service,28 Harris Street,TRANGIE,NSW,2823,Orana Far West,Multi-Purpose Service,21,2,0,Western NSW Local Health District,State Government,Outer Regional Australia,5,11105,Narromine,10503,Dubbo,Narromine,15850,PHN107,Western NSW,-32.030582,147.974423999999
Southern Cross Care Reynolds Court Residential Aged Care,7 Bias Avenue,BATEAU BAY,NSW,2261,Central Coast,Residential,80,0,0,Southern Cross Care (NSW & ACT) Limited,Religious,Major Cities of Australia,1,11044,Bateau Bay - Killarney Vale,10202,Wyong,Central Coast (NSW),11650,PHN108,Hunter New England and Central Coast,-33.3765569999999,151.480594999999
Trundle Multi-Purpose Service,44 Brookview Street,TRUNDLE,NSW,2875,Central West,Multi-Purpose Service,9,0,0,Western NSW Local Health District,State Government,Outer Regional Australia,5,11068,Parkes Region,10302,Lachlan Valley,Parkes,16200,PHN107,Western NSW,-32.921325,147.704235
Bupa Bateau Bay,17 Bias Avenue,BATEAU BAY,NSW,2261,Central Coast,Residential,101,0,0,Bupa Aged Care Australia Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11044,Bateau Bay - Killarney Vale,10202,Wyong,Central Coast (NSW),11650,PHN108,Hunter New England and Central Coast,-33.3790049999999,151.47855
RFBI Bellingen Masonic Village - JJ,15-23 Watson Street,BELLINGEN,NSW,2454,Mid North Coast,Residential,54,0,0,Royal Freemasons' Benevolent Institution,Charitable,Inner Regional Australia,5,11083,Bellingen,10402,Coffs Harbour,Bellingen,10600,PHN109,North Coast,-30.455924,152.896432
Uniting Narla Belmont North,21 Lentara Road,BELMONT NORTH,NSW,2280,Hunter,Residential,100,0,0,The Uniting Church in Australia Property Trust (NSW),Religious,Major Cities of Australia,1,11206,Belmont - Bennetts Green,11101,Lake Macquarie - East,Lake Macquarie,14650,PHN108,Hunter New England and Central Coast,-33.0225659999999,151.658299
St Elizabeth Home,1 Symonds Road,DEAN PARK,NSW,2761,Western Sydney,Residential,114,0,0,St Elizabeth Home,Religious,Major Cities of Australia,1,11314,Glendenning - Dean Park,11603,Mount Druitt,Blacktown,10750,PHN103,Western Sydney,-33.738908,150.861705
Harold Williams Home,267 Eyre Street,BROKEN HILL,NSW,2880,Orana Far West,Residential,40,0,0,Southern Cross Care (QLD) Ltd,Religious,Outer Regional Australia,3,11097,Broken Hill,10502,Broken Hill and Far West,Broken Hill,11250,PHN107,Western NSW,-31.974301,141.462647
Aruma Lodge,Beryl Street,BROKEN HILL,NSW,2880,Orana Far West,Residential,58,0,0,Southern Cross Care (QLD) Ltd,Religious,Outer Regional Australia,3,11097,Broken Hill,10502,Broken Hill and Far West,Broken Hill,11250,PHN107,Western NSW,-31.9435749999999,141.485104
Byron Aged Care,1 Butler Street,BYRON BAY,NSW,2481,Far North Coast,Residential,41,0,0,St Andrew's Village Ballina Limited,Community Based,Inner Regional Australia,4,11240,Byron Bay,11201,Richmond Valley - Coastal,Byron,11350,PHN109,North Coast,-28.641787,153.610798999999
Paling Court Residential Aged Care,90 WEROMBI Road,GRASMERE,NSW,2570,South West Sydney,Residential,140,0,0,Carrington Centennial Care Limited,Charitable,Major Cities of Australia,1,11433,Camden - Ellis Lane,12301,Camden,Camden,11450,PHN105,South Western Sydney,-34.05666,150.674613999999
IBIS Care Miranda,2c Karimbla Road,MIRANDA,NSW,2228,South East Sydney,Residential,76,0,0,IBIS (No 2) Pty Ltd,Private Incorporated Body,Major Cities of Australia,1,11602,Caringbah,12801,Cronulla - Miranda - Caringbah,Sutherland,17150,PHN101,Central and Eastern Sydney,-34.039185,151.114191
Southern Cross Care St Michael's Residential Aged Care,62 Centre Street,CASINO,NSW,2470,Far North Coast,Residential,73,0,0,Southern Cross Care (NSW & ACT) Limited,Religious,Inner Regional Australia,4,11244,Casino,11202,Richmond Valley - Hinterland,Richmond Valley,16610,PHN109,North Coast,-28.872301,153.043292
Anglicare Farrer Brown Court,284 Castle Hill Road,CASTLE HILL,NSW,2154,Northern Sydney,Residential,139,0,0,Anglican Community Services,Religious,Major Cities of Australia,1,11554,Castle Hill - East,11501,Baulkham Hills,Hornsby,14000,PHN102,Northern Sydney,-33.7314179999999,151.022591
Anglicare Warrina Residential Care,2 Hilliard Drive,CASTLE HILL,NSW,2154,Northern Sydney,Residential,128,0,0,Anglican Community Services,Religious,Major Cities of Australia,1,11554,Castle Hill - East,11501,Baulkham Hills,Hornsby,14000,PHN102,Northern Sydney,-33.728506,151.023425
Anglicare Brian King Gardens,1 Hilliard Drive,CASTLE HILL,NSW,2154,Northern Sydney,Residential,204,0,0,Anglican Community Services,Religious,Major Cities of Australia,1,11554,Castle Hill - East,11501,Baulkham Hills,Hornsby,14000,PHN102,Northern Sydney,-33.728506,151.023425
Cooinda Aged Care,100 Cassilis Street,COONABARABRAN,NSW,2357,Orana Far West,Residential,78,0,0,Cooinda Coonabarabran Ltd,Community Based,Outer Regional Australia,5,11099,Coonabarabran,10503,Dubbo,Warrumbungle,18020,PHN107,Western NSW,-31.274086,149.286024999999
Southern Cross Care Cootamundra Residential Aged Care,Scott Avenue,COOTAMUNDRA,NSW,2590,Riverina/Murray,Residential,55,0,0,Southern Cross Care (NSW & ACT) Limited,Religious,Inner Regional Australia,4,11263,Cootamundra,11303,Wagga Wagga,Cootamundra-Gundagai,12160,PHN110,Murrumbidgee,-34.6342259999999,148.015514999999
BaptistCare Mid Richmond Centre - Coraki,Surry Street,CORAKI,NSW,2471,Far North Coast,Residential,49,0,0,BaptistCare NSW & ACT,Charitable,Inner Regional Australia,5,11245,Casino Region,11202,Richmond Valley - Hinterland,Richmond Valley,16610,PHN109,North Coast,-28.994059,153.277964999999
Southern Cross Care Karinya Residential Aged Care,125 Guy Street,COROWA,NSW,2646,Riverina/Murray,Residential,84,0,0,Southern Cross Care (NSW & ACT) Limited,Religious,Inner Regional Australia,4,11180,Corowa,10903,Upper Murray exc. Albury,Federation,12870,PHN110,Murrumbidgee,-35.988612,146.384183
