name,address,suburb,state,postcode,latitude,longitude,phone,opening_hours,venue_type,source
Albert Park Library,319 Montague Street,Albert Park,VIC,3206,-37.84,144.96,9209 6622,,Library,Libraries_VIC
Alexandra Library,49 Grant Street,Alexandra,VIC,3714,-37.25,145.7,5772 0333,,Library,Libraries_VIC
Altona Library,123 Queen Street,Altona,VIC,3018,-37.87,144.83,,,Library,Libraries_VIC
Altona Meadows Library & Learning Centre,"Central Square Shopping Centre, 2 Newham Way",Altona Meadows,VIC,3028,-37.87,144.78,,,Library,Libraries_VIC
Altona North Community Library,Cnr Millers & McArthurs Road,Altona North,VIC,3025,-37.84,144.86,,,Library,Libraries_VIC
Apollo Bay Library,6 Pengilley Avenue,Apollo Bay,VIC,3233,-38.75,143.67,5237 1013,,Library,Libraries_VIC
Ararat Library,Barkly Street,Ararat,VIC,3377,-37.28,142.93,5352 1722,,Library,Libraries_VIC
Ascot Vale Library,165 Union Road,Ascot Vale,VIC,3032,-37.78,144.92,8325 1990,,Library,Libraries_VIC
Ashburton Library,154 High Street,Ashburton,VIC,3147,-37.86,145.08,9278 4666,,Library,Libraries_VIC
Avenel Library,23 Queens Street,Avenel,VIC,3664,-36.89,145.23,1300 374 765,,Library,Libraries_VIC
Avoca Library,122 Main Street,Avoca,VIC,3467,-37.09,143.47,5465 1000,,Library,Libraries_VIC
Avondale Heights Library & Learning Centre,69 Military Road,Avondale Heights,VIC,3034,-37.74,144.82,8325 1940,,Library,Libraries_VIC
Lerderderg Library,215 Main Street,Bacchus Marsh,VIC,3340,-37.68,144.44,5366 7100,,Library,Libraries_VIC
Bairnsdale Library,22 Service Street,Bairnsdale,VIC,3875,-37.83,147.63,5152 4225,,Library,Libraries_VIC
Mechanics Institute,143 Inglis Street,Ballan,VIC,3342,-37.6,144.23,0419 519 650,,Library,Libraries_VIC
Ballarat Mechanics’ Institute Inc,117 Sturt Street,Ballarat,VIC,3350,-37.56,143.82,5331 3042,,Library,Libraries_VIC
Balwyn Library,336 Whitehorse Road,Balwyn,VIC,3103,-37.81,145.08,9278 4666,,Library,Libraries_VIC
Greythorn Library Lounge,"2 Centre Way, Balwyn North",Balwyn North,VIC,3104,-37.79,145.07,9276 4666,,Library,Libraries_VIC
Bannockburn Library,25-27 High Street,Bannockburn,VIC,3331,-38.05,144.17,4201 0661,,Library,Libraries_VIC
Barwon Heads Library,Golf Links Road,Barwon Heads,VIC,3227,-38.28,144.49,4201 0653,,Library,Libraries_VIC
Bayswater Library,"Shop 26, Mountain High Shopping Centre, High St",Bayswater,VIC,3153,-37.84,145.27,1300 737 277,,Library,Libraries_VIC
Beaufort Library,72 Neill Street,Beaufort,VIC,3373,-37.43,143.38,5349 1180,,Library,Libraries_VIC
Beaumaris Library,96 Reserve Road,Beaumaris,VIC,3193,-37.99,145.03,9261 7825,,Library,Libraries_VIC
Beechworth Library,101 Ford Street,Beechworth,VIC,3747,-36.36,146.69,5728 8043,,Library,Libraries_VIC
Belgrave Library,Reynolds Lane,Belgrave,VIC,3160,-37.91,145.36,1300 737 277,,Library,Libraries_VIC
Belmont Library,163 High Street,Belmont,VIC,3216,-38.18,144.34,4201 0665,,Library,Libraries_VIC
Benalla Library,2 Fawckner Drive,Benalla,VIC,3671,-36.39,145.42,5762 2069,,Library,Libraries_VIC
Bendigo Research Archives Centre (BRAC),251-259 Hargreaves Street,Bendigo,VIC,3550,-36.76,144.28,5428 2700,,Library,Libraries_VIC
Bentleigh Library,161 Jasper Road,Bentleigh,VIC,3204,-37.92,145.04,9524 3700,,Library,Libraries_VIC
Berwick Library,"Berwick Mechanics’ Institute & Free Library,",Berwick,VIC,3806,-38.03,145.34,9707 3519,,Library,Libraries_VIC
Birchip Library,P-12 School Community Library,Birchip,VIC,3483,-35.98,142.75,1300 520 520,,Library,Libraries_VIC
Blackburn Library,Cnr Blackburn & Central Roads,Blackburn,VIC,3130,-37.82,145.15,9896 8400,,Library,Libraries_VIC
Bonnie Doon Library,"Bonnie Doon Community Centre,",Bonnie Doon,VIC,3720,-37.02,145.86,5778 7722,,Library,Libraries_VIC
Boronia Library,Park Crescent,Boronia,VIC,3155,-37.86,145.28,1300 737 277,,Library,Libraries_VIC
Box Hill Library,1040 Whitehorse Road,Box Hill,VIC,3128,-37.82,145.12,9896 4300,,Library,Libraries_VIC
Braybrook Library,107-109 Churchill Avenue,Braybrook,VIC,3019,-37.78,144.86,9188 5850,,Library,Libraries_VIC
Bright Library,14 Ireland Street,Bright,VIC,3741,-36.73,146.96,5755 1540,,Library,Libraries_VIC
Brighton Library,14 Wilson Street,Brighton,VIC,3186,-37.91,144.99,9261 7825,,Library,Libraries_VIC
Brighton East Library,Hurlingham Park (Locker),Brighton East,VIC,3187,-37.9,145.0,,,Library,Libraries_VIC
Broadford Library,113 High Street,Broadford,VIC,3658,-37.2,145.05,5734 6451,,Library,Libraries_VIC
Broadmeadows Library,1093 Pascoe Vale Road,Broadmeadows,VIC,3047,-37.68,144.92,9356 6900,,Library,Libraries_VIC
Brunswick Library,Cnr Sydney Road & Dawson Street,Brunswick,VIC,3056,-37.76,144.94,9389 8600,,Library,Libraries_VIC
Campbell Turnbull Library,220 Melville Road,Brunswick West,VIC,3055,-37.77,144.94,9384 9200,,Library,Libraries_VIC
Bulleen Library,"Bulleen Plaza, Manningham Road",Bulleen,VIC,3105,-37.77,145.08,9896 8450,,Library,Libraries_VIC
Camberwell Library,340 Camberwell Road,Camberwell,VIC,3124,-37.82,145.06,9278 4666,,Library,Libraries_VIC
