_id,Name,Street Address,Street Suburb,Street State,Street Postcode,Postal Address,Postal Suburb,Postal State,Postal Postcode,Phone,Latitude (Decimal),Longitude (Decimal),Elevation from Sea Level (in m)
1,A H Bracks Public Library,Cnr Stock Road and Canning Highway,Melville,WA,6156,"Melville Recreation Centre, Cnr Stock Road and Canning Highway",Melville,WA,6156,08 9364 0115,-32.03446,115.79552,46
2,Albany Public Library,221 York Street,Albany,WA,6330,PO Box 484,Albany,WA,6330,08 9841 9390,-35.02293,117.88288,32
3,Amherst Village Public Library,Cnr Warton Road and Holmes Street,Southern River,WA,6110,PO Box 662,Gosnells,WA,6990,08 9498 9498,-32.08966,115.94393,22
4,Armadale Public Library,Shop 64 / 10 Orchard Ave,Armadale,WA,6112,Locked Bag 2,Armadale,WA,6992,08 9394 5125,-32.152266,116.0147457,67
5,Augusta Public Library,Allnut Terrace,Augusta,WA,6290,C/- PO Augusta,Augusta,WA,6290,08 9780 5670,-34.31438,115.15532,41
6,Australind Public Library,Paris Road,Australind,WA,6230,PO Box A102,Australind,WA,6230,08 9797 1430,-33.28122,115.71647,12
7,Badgingarra Public Library,Community Hall,Badgingarra,WA,6521,C/- Post Office,Badgingarra,WA,6521,08 9652 9233,-30.38849,115.49967,201
8,Baldivis Library and Community Centre,17 Settlers Avenue,Baldivis,WA,6171,PO Box 4146,Baldivis,WA,6171,08 9591 0800,-32.33236,115.81375,9
9,Balingup Public Library,40 Jayes Road,Balingup,WA,6253,Roberts Road,Balingup,WA,6253,08 9764 1037,-33.78384,115.98542,118
10,Ballajura Public Library,Cnr Kingfisher and Illawarra Crescent,Ballajura,WA,6066,Cnr Kingfisher and Illawarra Cres,Ballajura,WA,6066,08 9249 1488,-31.83941,115.89483,37
11,Bassendean Public Library,46 Old Perth Road,Bassendean,WA,6054,46 Old Perth Road,Bassendean,WA,6054,08 9279 2966,-31.90403,115.94928,22
12,Bayswater Public Library,25 King William Street,Bayswater,WA,6053,PO Box 53,Bayswater,WA,6933,08 9271 2340,-31.92022,115.91395,13
13,Beacon Public Library,"Beacon Central, 11 Rowlands Street",Beacon,WA,6472,,,,,08 9686 1014,-30.4497,117.86517,374
14,Beechboro Public Library,332 Benara Road,Beechboro,WA,6063,332 Benara Road,Beechboro,WA,6063,08 9377 7760,-31.87487,115.93994,21
15,Belmont Public Library,215 Wright Street,Cloverdale,WA,6105,Locked Bag 379,Cloverdale,WA,6985,08 9477 7150,-31.96189,115.9337,15
16,Bencubbin Public Library,80 Monger Street,Bencubbin,WA,6477,PO Box 20,Bencubbin,WA,6477,08 9685 1202,-30.8101,117.86025,358
17,Bentley Public Library,Cnr Hedley Place and Manning Road,Bentley,WA,6102,Hedley Place,Bentley,WA,6102,08 9231 0695,-32.01249,115.90934,10
18,Beverley Public Library,141 Vincent Street,Beverley,WA,6304,PO Box 20,Beverley,WA,6304,08 9646 1200,-32.10923,116.9248,204
19,Bidyadanga Community Library,Bidyadanga Road,Broome,WA,6725,PO Box 634,Broome,WA,6725,08 9192 4780,-18.68481,121.77692,14
20,Bindoon Public Library,6177 Great Northern Highway,Bindoon,WA,6502,PO Box 70,Bindoon,WA,6502,08 9576 4600,-31.38603,116.09591,136
21,Binningup Public Library,Driftwood Way,Binningup,WA,6233,Driftwood Way,Binningup,WA,6233,08 9720 2930,-33.15052299,115.6944144,10
22,Boddington Public Library,20 Bannister Road,Boddington,WA,6390,PO Box 4,Boddington,WA,6390,0418 952 166,-32.79995968,116.4747816,218
