name,address,suburb,state,postcode,latitude,longitude,phone,opening_hours
NA,319 Montague Street,Albert Park,VIC,3206,-37.84,144.96,9209 6622,NA
NA,49 Grant Street,Alexandra,VIC,3714,-37.25,145.7,5772 0333,NA
NA,123 Queen Street,Altona,VIC,3018,-37.87,144.83,NA,NA
Altona Meadows Library & Learning Centre,"Central Square Shopping Centre, 2 Newham Way",Altona Meadows,VIC,3028,-37.87,144.78,NA,NA
Altona North Community Library,Cnr Millers & McArthurs Road,Altona North,VIC,3025,-37.84,144.86,NA,NA
NA,6 Pengilley Avenue,Apollo Bay,VIC,3233,-38.75,143.67,5237 1013,NA
NA,Barkly Street,Ararat,VIC,3377,-37.28,142.93,5352 1722,NA
NA,165 Union Road,Ascot Vale,VIC,3032,-37.78,144.92,8325 1990,NA
NA,154 High Street,Ashburton,VIC,3147,-37.86,145.08,9278 4666,NA
NA,23 Queens Street,Avenel,VIC,3664,-36.89,145.23,1300 374 765,NA
NA,122 Main Street,Avoca,VIC,3467,-37.09,143.47,5465 1000,NA
Avondale Heights Library & Learning Centre,69 Military Road,Avondale Heights,VIC,3034,-37.74,144.82,8325 1940,NA
Lerderderg Library,215 Main Street,Bacchus Marsh,VIC,3340,-37.68,144.44,5366 7100,NA
NA,22 Service Street,Bairnsdale,VIC,3875,-37.83,147.63,5152 4225,NA
Mechanics Institute,143 Inglis Street,Ballan,VIC,3342,-37.6,144.23,0419 519 650,NA
Ballarat Mechanics’ Institute Inc,117 Sturt Street,Ballarat,VIC,3350,-37.56,143.82,5331 3042,NA
NA,255 Sturt Street,Ballarat,VIC,3350,-37.56,143.82,5338 6850,NA
NA,336 Whitehorse Road,Balwyn,VIC,3103,-37.81,145.08,9278 4666,NA
Greythorn Library Lounge,"2 Centre Way, Balwyn North",Balwyn North,VIC,3104,-37.79,145.07,9276 4666,NA
NA,25-27 High Street,Bannockburn,VIC,3331,-38.05,144.17,4201 0661,NA
NA,Golf Links Road,Barwon Heads,VIC,3227,-38.28,144.49,4201 0653,NA
NA,"Shop 26, Mountain High Shopping Centre, High St",Bayswater,VIC,3153,-37.84,145.27,1300 737 277,NA
NA,72 Neill Street,Beaufort,VIC,3373,-37.43,143.38,5349 1180,NA
NA,96 Reserve Road,Beaumaris,VIC,3193,-37.99,145.03,9261 7825,NA
NA,101 Ford Street,Beechworth,VIC,3747,-36.36,146.69,5728 8043,NA
NA,Reynolds Lane,Belgrave,VIC,3160,-37.91,145.36,1300 737 277,NA
NA,163 High Street,Belmont,VIC,3216,-38.18,144.34,4201 0665,NA
NA,2 Fawckner Drive,Benalla,VIC,3671,-36.39,145.42,5762 2069,NA
Bendigo Research Archives Centre (BRAC),251-259 Hargreaves Street,Bendigo,VIC,3550,-36.76,144.28,5428 2700,NA
NA,161 Jasper Road,Bentleigh,VIC,3204,-37.92,145.04,9524 3700,NA
NA,"Berwick Mechanics’ Institute & Free Library,",Berwick,VIC,3806,-38.03,145.34,9707 3519,NA
NA,P-12 School Community Library,Birchip,VIC,3483,-35.98,142.75,1300 520 520,NA
